id,name,english_name,ticker,exchange,country,is_listed_in_tw,aliases,website,description,snapshot_date
TWSE_2330,台積電,Taiwan Semiconductor Manufacturing Company,2330,TWSE,Taiwan,true,TSMC;2330.TW;台灣積體電路製造,https://www.tsmc.com,全球晶圓代工龍頭,2026-07-03
TWSE_2454,聯發科,MediaTek Inc.,2454,TWSE,Taiwan,true,MediaTek;2454.TW,https://www.mediatek.com,IC 設計，手機 SoC 與 ASIC,2026-07-03
TWSE_3711,日月光投控,ASE Technology Holding,3711,TWSE,Taiwan,true,ASE;日月光;3711.TW,https://www.aseglobal.com,全球最大封裝測試代工廠,2026-07-03
TWSE_2317,鴻海,Hon Hai Precision Industry,2317,TWSE,Taiwan,true,Foxconn;富士康;2317.TW,https://www.honhai.com,全球最大 EMS 電子代工廠,2026-07-03
TWSE_2382,廣達,Quanta Computer,2382,TWSE,Taiwan,true,Quanta;2382.TW,https://www.quantatw.com,筆電與 AI 伺服器 ODM,2026-07-03
TWSE_3231,緯創,Wistron Corporation,3231,TWSE,Taiwan,true,Wistron;3231.TW,https://www.wistron.com,伺服器與資訊產品 ODM,2026-07-03
TWSE_2356,英業達,Inventec Corporation,2356,TWSE,Taiwan,true,Inventec;2356.TW,https://www.inventec.com,伺服器與筆電 ODM,2026-07-03
TWSE_2308,台達電,Delta Electronics,2308,TWSE,Taiwan,true,Delta;2308.TW,https://www.deltaww.com,電源管理與散熱解決方案龍頭,2026-07-03
TWSE_2368,金像電,Gold Circuit Electronics,2368,TWSE,Taiwan,true,GCE;2368.TW,https://www.gce.com.tw,伺服器 PCB 大廠,2026-07-03
TWSE_3044,健鼎,Tripod Technology,3044,TWSE,Taiwan,true,Tripod;3044.TW,https://www.tripodtech.net,PCB 大廠,2026-07-03
TWSE_3017,奇鋐,Asia Vital Components,3017,TWSE,Taiwan,true,AVC;3017.TW,https://www.avc.co,散熱模組與伺服器水冷大廠,2026-07-03
TWSE_3324,雙鴻,Auras Technology,3324,TWSE,Taiwan,true,Auras;3324.TW,https://www.auras.com.tw,散熱模組廠，AI 伺服器水冷供應商,2026-07-03
TWSE_3023,信邦,Sinbon Electronics,3023,TWSE,Taiwan,true,Sinbon;3023.TW,https://www.sinbon.com,連接線束與整合解決方案,2026-07-03
TWSE_3665,貿聯-KY,BizLink Holding,3665,TWSE,Taiwan,true,BizLink;3665.TW,https://www.bizlinktech.com,連接線束大廠，伺服器與車用線束,2026-07-03
TWSE_3034,聯詠,Novatek Microelectronics,3034,TWSE,Taiwan,true,Novatek;3034.TW,https://www.novatek.com.tw,IC 設計，顯示驅動 IC 龍頭,2026-07-03
TWSE_2379,瑞昱,Realtek Semiconductor,2379,TWSE,Taiwan,true,Realtek;2379.TW,https://www.realtek.com,IC 設計，網通與多媒體 IC,2026-07-03
TWSE_2344,華邦電,Winbond Electronics,2344,TWSE,Taiwan,true,Winbond;2344.TW,https://www.winbond.com,利基型記憶體製造商,2026-07-03
TWSE_2408,南亞科,Nanya Technology,2408,TWSE,Taiwan,true,Nanya Tech;2408.TW,https://www.nanya.com,DRAM 製造商,2026-07-03
